MBTI,평균_문장_길이,자주_쓰는_단어,주요_감성,표현_방식
INTJ,44.14,"너무, 저는, 다른, 이런, 하고",neutral,서술형
INFP,42.92,"저는, 너무, 어떤, 다른, 제가",neutral,서술형
ENTP,43.24,"ㅋㅋ, 저는, 그냥, 있는, 너무",neutral,서술형
ISFJ,42.88,"저는, 그냥, 너무, 이런, 그런",neutral,서술형
ENTJ,45.24,"저는, 너무, 어떻게, 있는, 이런",neutral,서술형
ESTJ,42.79,"너무, 저는, ㅋㅋ, 그냥, 어떤",neutral,서술형
ISTP,44.43,"ㅋㅋ, 저는, 너무, 그냥, 이런",neutral,서술형
ENFP,42.38,"너무, 저는, ㅋㅋ, 제가, 그냥",neutral,서술형
ESFP,38.91,"너무, 많이, 저는, 제가, 하는",neutral,서술형
INFJ,42.86,"너무, 이런, 저는, 제가, 그냥",neutral,서술형
ISTJ,40.71,"하는, 어떻게, 저는, 제가, 이런",neutral,서술형
INTP,41.3,"저는, 너무, 하고, 어떤, 하는",neutral,서술형
ENFJ,42.11,"저는, 너무, 이런, ㅋㅋ, 하고",neutral,서술형
ISFP,40.99,"저는, ㅋㅋ, 너무, 제가, 어떻게",neutral,서술형
ESFJ,45.1,"저는, 어떤, 어떻게, 제가, 너무",neutral,서술형
ESTP,39.77,"ㅋㅋ, 저는, 너무, estp, 어떤",neutral,서술형
